Name,Value,Type
cb0_v0,"0.00, 0.00, 60.00, 0.00",float4
cb0_v1,"1.00, -6.66667, 0.00, 4653.00",float4
cb0_v2,"1.00, 1.00, 0.99896, 0.99815",float4
cb0_v3,"1.00, 0.00185, -0.00238, 0.00",float4
cb0_v4,"0.00, 0.00, 1.06667, 1.8963",float4
cb0_v5,"1.00, 1.00, 0.50, 0.50",float4
cb0_v6,"366.38327, 114.97507, 0.00005, 0.00",float4
cb0_v7,"-3850.03589, -15399.91797, 5.00, 1.00",float4
cb0_v8,"0.00, 0.00, 1.00, 1.00",float4
cb0_v9,"0.00026, 0.00046, 0.9987, 0.99769",float4
cb0_v10,"-100.00, 500.00, 1000.00, 1000.00",float4
cb0_v11,"1.00, 0.00, 0.00, 0.00",float4
cb0_v12,"1920.00, 1080.00, 0.00052, 0.00093",float4
cb0_v13,"0.00, 0.00, 2.69049E-42, 1.51340E-42",float4
cb0_v14,"0.005, 0.50, 1.06, 1.50",float4
cb0_v15,"4000.00, 2000000.00, 1.00, 0.75",float4
cb0_v16,"0.30, 0.00, 0.00, 0.00",float4
cb0_v17,"1.00, 0.00, 0.00, 0.00",float4
cb0_v18,"0.00, 0.00, 0.00, 0.00",float4
cb0_v19,"0.00, 0.00, 0.00, 0.00",float4
cb0_v20,"0.00, 0.00, 0.00, 0.00",float4
cb0_v21,"0.00, 0.00, 0.00, 0.00",float4
cb0_v22,"0.00, 0.00, 0.00, 0.00",float4
cb0_v23,"0.00, 0.00, 0.00, 0.00",float4
cb0_v24,"0.00, 0.00, 0.00, 0.00",float4
cb0_v25,"0.00, 0.00, 0.00, 0.00",float4
cb0_v26,"0.00, 0.4984, 8.00, 0.10",float4
cb0_v27,"0.47619, 1.04762, 1.00, 0.02941",float4
cb0_v28,"221.07478, 1.00, 0.00, -0.11625",float4
cb0_v29,"0.0002, 0.00005, 0.00095, 0.00",float4
cb0_v30,"0.00003, -0.00001, -0.00234, 0.00",float4
cb0_v31,"0.00006, -0.00031, 0.00103, 0.00",float4
cb0_v32,"0.03559, 0.46977, -4.0521, 1.00",float4
cb0_v33,"0.07366, 0.11049, 0.10, 147.55389",float4
cb0_v34,"1.00, 1.00, 1.00, 0.00",float4
cb0_v35,"0.00, 0.00, 0.00, 0.00",float4
cb0_v36,"0.88, 0.55, 0.26, 0.00",float4
cb0_v37,"0.00, 0.00, 2.83492E-07, 0.00464",float4
cb0_v38,"0.00052, 0.00093, 0.00052, 0.00093",float4
